加拿大,智利,墨西哥,台北,香港,日本,韩国,澳门,马尔代夫,柬埔寨,印度尼西亚,新加坡,新西兰,美国,泰国,土耳其,澳大利亚,夏威夷,奥地利,捷克
33372.64131,987.5980722,8339.988295,35496.05222,1643675.185,242749.2631,182310.1184,1255828.535,12283.75356,72916.83603,82674.74938,145834.359,15831.3527,62612.15194,425743.9757,11083.00512,42252.72135,2847.847554,23466.45232,34436.20131
29765.69521,862.8256145,8441.320523,36835.57997,1398130.96,247821.3504,177715.5522,1118316.97,11999.11582,71681.01975,74882.30882,105143.272,12506.84922,65953.27962,364199.824,12023.95901,41178.49401,2484.621836,32285.934,30876.09603
23080.0121,1326.263645,8801.847251,46494.82948,1753060.441,263139.8445,201640.84,1433425.552,15629.81967,84796.95378,75092.22248,126727.2335,14005.49782,73420.14437,396928.3959,14405.14716,49307.42946,3264.023636,34490.45954,34022.85872
16606.40454,1674.099198,11557.1371,54524.08473,1857442.356,247322.3006,180867.0379,1574534.783,9949.004428,93174.31603,71793.43607,145155.5279,10590.01018,94947.90628,471063.3909,17054.74648,63973.74138,4086.331288,32154.24536,19106.99449
19651.43374,1708.910598,16096.12312,57069.75714,2277985.474,218812.5564,193146.7896,1680180.27,9815.099216,108270.1565,65151.53759,153119.9959,8079.604239,101546.0101,498915.6199,16198.34205,73407.21987,4339.029713,34245.21094,18494.22906
19895.80321,1530.862726,9297.940883,59836.07053,2539653.711,355599.5563,209153.552,1806037.13,14954.46002,123711.4123,102054.6804,191040.0068,12267.60947,139532.526,619610.0803,17819.90424,83629.79888,4844.585586,25167.15624,13625.61354
19313.48688,1598.788166,10071.28743,73696.04206,2397757.511,350199.0468,262454.4516,1867852.139,19862.28782,154316.8963,143841.4165,229340.7636,13960.2442,170924.1083,704889.2702,18398.20613,107095.8526,4601.161877,20576.05155,19487.54168
18090.57774,1926.218486,16283.88272,89917.0686,2375449.83,424246.3784,271352.5519,1928139.794,9599.654529,131817.7397,104364.7342,196190.5296,14979.9033,139749.2555,614678.6293,21694.16127,74924.38337,5730.845053,15654.89977,23001.00236
22469.2022,1849.417927,10862.63999,115357.0755,2496245.03,474577.2352,306571.2699,1947074.365,12015.94501,129832.5149,109012.1005,208915.9701,16661.19921,117009.0316,665203.9939,21132.5318,76856.83079,5469.207141,20007.361,32156.91372
31483.9056,1559.9117,10855.74339,109973.1898,2586182.955,413566.8942,320344.7626,2005456.137,16449.8503,114385.7845,106499.7997,177661.3985,25204.72374,106634.928,593418.4491,19350.48415,69492.40032,5559.579492,23512.09717,47892.36346
43419.84469,1304.036522,10234.0479,97928.54306,2455942.034,409583.3309,328791.8548,1806628.997,14887.22128,108600.9811,122246.7934,169286.4422,27112.65567,113628.2039,535208.6531,17570.85203,63026.84175,5754.06588,39393.67886,60689.24683
61901.1814,1411.126368,12870.9957,116087.8694,3243928.394,596520.3036,403947.1458,2156661.093,21984.66651,137431.5761,160429.8977,274218.069,28111.84895,184009.1241,755782.1256,15459.15019,98579.39543,5770.322539,50288.39698,75529.71817
